q,window_lo,window_hi,lambda,eta,hit_prob,W_star,W_lo,W_hi,n
0.5,0.25,2.0,0.016,0.14,0.1635,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.2,0.425,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.28,0.714,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.4,0.9135,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.6,0.99,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,0.85,0.998,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.016,1.1,1.0,0.06349604207872799,0.015874010519681996,0.12699208415745597,2000
0.5,0.25,2.0,0.024,0.0,0.0,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.02,0.0,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.035,0.0,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.05,0.0,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.07,0.0005,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.1,0.003,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.14,0.0745,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.2,0.2655,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.28,0.558,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.4,0.8125,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.6,0.967,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,0.85,0.995,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.024,1.1,1.0,0.08320335292207617,0.020800838230519043,0.16640670584415235,2000
0.5,0.25,2.0,0.032,0.0,0.0,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.02,0.0,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.035,0.0,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.05,0.0,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.07,0.0,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.1,0.001,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.14,0.034,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.2,0.16,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.28,0.4155,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.4,0.7205,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.6,0.9325,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,0.85,0.9905,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.032,1.1,0.998,0.10079368399158986,0.025198420997897465,0.20158736798317972,2000
0.5,0.25,2.0,0.048,0.0,0.0,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.02,0.0,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.035,0.0,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.05,0.0,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.07,0.0,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.1,0.0,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.14,0.0065,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
